name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Grav Armor,1982,2,3,6.552,Arnold Hendrick,(Web published)
Tomb  Cryptmaster,2009,2,6,6.54,Brent Keith,Alderac Entertainment Group
The Simpsons Battle of the Sexes,1997,2,8,3.471,(Uncredited),(Unknown)
The Architects of the Colosseum,2016,2,4,6.263,Klaus-J\\u00fcrgen Wrede,Schmidt Spiele
Till Dawn,2014,4,8,6.302,Richard Launius,8th Summit
Munchkin Axe Cop,2011,3,6,6.146,Steve Jackson (I),Pegasus Spiele
Mad Arena,2009,2,7,5.797,Guillaume Blossier,Les 12 Singes
Fictionary,0,4,10,6.777,(Uncredited),(Public Domain)
Attack Vector  Tactical,2004,2,8,7.287,Ken Burnside,Ad Astra Games
Bug,2017,2,2,7.597,Nick Bentley,(Web published)
Sword and Skull,2005,2,5,5.476,Mike Elliott,Avalon Hill Games
Vikings Gone Wild,2017,2,4,7.282,Julien Vergonjeanne,Corax Games
Entenrallye,1988,2,6,5.846,Walter M\\u00fcller,Walter Mu00fcllers Spielewerkstatt
Beat the Parents,2004,2,6,4.34,(Uncredited),Imagination Games
Symphony No.9,2018,2,4,7.041,Frank Liu,Moaideas Game Design
Facts in Five,1964,1,5,6.077,Richard Onanian,3M
Abalone Quattro,2003,2,4,6.834,Michel Lalet,Asmodee
6-Tage Rennen,1986,3,8,6.881,Walter Toncar,Holtmann VIP
On the Underground,2006,2,5,6.909,Sebastian Bleasdale,JKLM Games
Alchemist Academy,2013,2,6,5.147,Ray Williams,Munji Studios
Melee,1977,2,2,7.324,Steve Jackson (I),(Web published)
Midway,1964,2,2,6.604,Larry Pinsky,The Avalon Hill Game Co
Willow,1988,2,4,5.7,(Uncredited),Parker Brothers
Secrets of the Deep,1991,2,5,5.91,Wolfgang Riedesser,Ravensburger Spieleverlag GmbH
Double Trouble,1987,2,4,4.814,Michael Gray,MB Juegos
